iter,mean_episode_return
0,9.534
1,10.745
2,11.037
3,15.804
4,15.28
5,14.883
6,17.892
7,18.687
8,18.621
9,19.736
10,19.635
11,21.318
12,20.267
13,18.792
14,19.033
15,19.294
16,19.637
17,18.619
18,18.522
19,19.393
20,20.105
21,20.762
22,18.421
23,19.947
24,19.953
25,19.805
26,21.407
27,19.463
28,17.649
29,19.743
30,18.943
31,19.588
32,21.287
33,20.655
34,18.77
35,18.824
36,20.382
37,18.603
38,17.887
39,19.31
40,18.946
41,19.477
42,19.481
43,20.056
44,18.853
45,20.714
46,21.517
47,20.099
48,20.936
49,19.994
50,18.338
51,21.36
52,20.723
53,19.167
54,18.852
55,18.578
56,19.179
57,18.51
58,20.141
59,19.449
60,19.284
61,20.533
62,19.332
63,19.969
64,19.793
65,18.433
66,19.357
67,20.785
68,21.625
69,22.333
70,19.963
71,19.62
72,19.185
73,19.774
74,19.247
75,19.812
76,20.139
77,19.431
78,19.739
79,20.543
80,20.595
81,20.126
82,17.633
83,19.431
84,19.369
85,20.733
86,17.655
87,20.566
88,17.638
89,20.328
90,21.595
91,21.79
92,18.385
93,20.632
94,20.92
95,22.817
96,21.525
97,22.417
98,21.152
99,20.282
100,21.338
101,21.845
102,21.165
103,21.638
104,19.831
105,20.975
106,21.989
107,20.535
108,21.687
109,18.487
110,20.958
111,22.496
112,20.105
113,20.851
114,22.102
115,19.98
116,22.207
117,20.063
118,21.879
119,21.299
120,20.601
121,21.408
122,21.535
123,21.098
124,20.457
125,20.596
126,20.002
127,20.961
128,20.779
129,22.625
130,21.867
131,21.919
132,21.553
133,20.791
134,20.292
135,21.572
136,20.703
137,19.634
138,19.548
139,21.456
140,21.423
141,20.142
142,20.766
143,21.886
144,21.366
145,20.535
146,19.179
147,21.704
148,21.344
149,21.587
150,21.594
151,20.869
152,19.028
153,22.619
154,20.396
155,20.49
156,21.086
157,20.974
158,19.474
159,21.232
160,20.78
161,21.441
162,20.146
163,20.628
164,22.933
165,21.697
166,21.282
167,21.147
168,20.999
169,21.916
170,21.261
171,21.422
172,20.724
173,19.447
174,20.504
175,19.486
176,21.105
177,20.446
178,22.369
179,21.153
180,20.869
181,21.551
182,21.091
183,20.478
184,21.321
185,21.906
186,21.792
187,21.612
188,22.621
189,19.654
190,21.066
191,22.337
192,20.912
193,21.194
194,20.428
195,20.73
196,21.859
197,22.019
198,22.049
199,21.364
200,20.92
201,21.034
202,20.593
203,22.4
204,20.883
205,20.908
206,19.131
207,18.925
208,19.589
209,20.507
210,20.239
211,21.739
212,21.867
213,21.87
214,21.706
215,22.054
216,21.291
217,20.213
218,21.537
219,21.674
220,22.258
221,21.052
222,22.342
223,21.551
224,23.387
225,23.294
226,20.271
227,20.782
228,22.233
229,21.893
230,20.738
231,21.05
232,21.425
233,21.2
234,21.872
235,21.853
236,19.975
237,19.501
238,20.86
239,20.385
240,20.852
241,21.445
242,21.063
243,21.473
244,23.475
245,21.648
246,19.742
247,21.356
248,21.991
249,21.322
250,20.406
251,20.158
252,22.096
253,22.354
254,20.963
255,20.755
256,21.31
257,20.265
258,22.815
259,21.912
260,20.664
261,21.882
262,19.251
263,21.608
264,20.331
265,20.401
266,21.014
267,22.857
268,21.212
269,21.442
270,20.959
271,21.729
272,20.23
273,21.605
274,21.446
275,21.105
276,21.356
277,21.306
278,21.334
279,21.344
280,21.665
281,22.225
282,20.768
283,21.315
284,22.123
285,22.606
286,20.92
287,20.71
288,21.527
289,20.543
290,20.847
291,21.31
292,21.558
293,21.268
294,20.252
295,21.685
296,21.653
297,21.473
298,21.061
299,22.0
300,20.982
301,23.184
302,21.725
303,18.25
304,20.693
305,21.803
306,20.504
307,21.218
308,22.159
309,21.815
310,21.82
311,20.776
312,21.235
313,21.988
314,18.897
315,21.388
316,22.007
317,19.947
318,20.724
319,20.665
320,20.604
321,21.746
322,22.655
323,21.746
324,19.408
325,22.373
326,21.28
327,20.691
328,20.087
329,19.665
330,22.01
331,18.962
332,21.395
333,22.875
334,21.634
335,21.218
336,20.452
337,20.591
338,22.066
339,21.732
340,22.117
341,22.423
342,19.712
343,20.767
344,20.536
345,22.745
346,19.295
347,20.497
348,19.846
349,21.76
350,21.779
351,20.919
352,21.675
353,17.759
354,21.269
355,20.63
356,21.06
357,20.442
358,21.057
359,20.263
360,21.146
361,21.188
362,19.64
363,22.475
364,20.57
365,21.681
366,22.788
367,20.726
368,21.042
369,20.746
370,21.568
371,21.011
372,23.134
373,21.426
374,22.554
375,22.544
376,22.524
377,22.866
378,22.692
379,20.52
380,22.776
381,22.879
382,20.653
383,21.18
384,22.69
385,19.841
386,21.439
387,21.131
388,21.27
389,21.077
390,20.959
391,21.591
392,20.943
393,20.946
394,22.36
395,22.448
396,21.336
397,21.94
398,20.12
399,20.231
400,22.163
401,21.805
402,21.476
403,21.725
404,20.925
405,22.178
406,22.548
407,21.966
408,22.189
409,20.949
410,20.966
411,20.887
412,20.597
413,19.951
414,21.719
415,20.806
416,22.574
417,21.915
418,21.472
419,22.612
420,21.83
421,23.009
422,22.567
423,22.053
424,20.551
425,22.336
426,21.477
427,20.542
428,21.657
429,22.661
430,20.815
431,21.029
432,21.843
433,20.232
434,20.64
435,21.379
436,20.756
437,21.433
438,20.611
439,21.158
440,19.338
441,21.626
442,20.148
443,21.725
444,22.695
445,21.207
446,22.019
447,20.001
448,19.883
449,20.141
450,22.121
451,22.382
452,21.625
453,22.445
454,22.219
455,21.593
456,21.588
457,23.218
458,20.363
459,19.713
460,20.725
461,21.477
462,20.322
463,21.843
464,20.448
465,21.626
466,21.236
467,22.215
468,22.183
469,21.878
470,22.314
471,21.867
472,21.41
473,21.581
474,22.078
475,21.543
476,21.749
477,21.477
478,21.91
479,22.703
480,22.488
481,20.855
482,21.835
483,22.388
484,20.6
485,23.352
486,23.118
487,23.097
488,22.405
489,23.703
490,21.951
491,22.366
492,23.537
493,22.929
494,22.372
495,22.181
496,22.889
497,21.886
498,23.086
499,22.081
500,21.911
501,23.553
502,22.737
503,22.494
504,21.145
505,22.083
506,23.24
507,23.024
508,21.508
509,22.304
510,21.161
511,20.636
512,21.846
513,22.603
514,22.036
515,21.832
516,21.248
517,22.357
518,22.082
519,22.121
520,22.765
521,20.984
522,22.21
523,21.646
524,22.336
525,23.009
526,22.759
527,19.798
528,22.087
529,21.231
530,20.86
531,22.629
532,21.815
533,22.671
534,19.721
535,21.268
536,21.316
537,21.898
538,21.787
539,20.539
540,19.729
541,21.06
542,21.941
543,20.366
544,20.811
545,20.284
546,21.431
547,22.208
548,21.03
549,21.686
550,20.398
551,21.09
552,22.372
553,20.303
554,22.313
555,22.861
556,24.167
557,23.527
558,21.89
559,22.89
560,23.272
561,22.046
562,21.932
563,22.625
564,22.199
565,22.671
566,21.971
567,23.348
568,21.591
569,21.768
570,20.059
571,21.961
572,21.44
573,22.364
574,22.011
575,22.48
576,23.057
577,22.071
578,22.05
579,21.507
580,21.635
581,21.33
582,21.497
583,23.21
584,21.454
585,23.185
586,22.142
587,22.371
588,21.515
589,22.814
590,19.703
591,22.777
592,22.962
593,22.487
594,21.444
595,21.457
596,23.374
597,22.424
598,22.084
599,22.073
600,22.784
601,23.618
602,21.826
603,22.631
604,21.814
605,21.071
606,22.155
607,22.411
608,21.504
609,22.401
610,22.061
611,21.794
612,22.581
613,22.011
614,22.858
615,21.025
616,22.7
617,21.958
618,23.261
619,22.957
620,23.125
621,22.122
622,22.261
623,23.365
624,23.679
625,22.954
626,22.097
627,21.568
628,22.364
629,22.975
630,21.048
631,21.868
632,22.281
633,22.635
634,23.113
635,22.061
636,20.999
637,22.333
638,22.405
639,21.858
640,22.422
641,21.939
642,21.38
643,23.48
644,22.715
645,22.721
646,23.045
647,22.221
648,22.188
649,22.365
650,22.02
651,22.393
652,23.083
653,23.459
654,22.712
655,22.023
656,21.663
657,22.168
658,20.846
659,21.634
660,21.479
661,20.199
662,22.893
663,21.696
664,21.343
665,21.58
666,22.013
667,22.498
668,22.088
669,21.068
670,19.699
671,22.405
672,22.275
673,20.973
674,21.241
675,22.519
676,22.322
677,21.971
678,22.963
679,20.349
680,21.609
681,19.474
682,23.958
683,23.238
684,19.809
685,20.463
686,22.278
687,22.289
688,22.765
689,22.172
690,22.517
691,21.525
692,22.537
693,21.993
694,22.407
695,22.644
696,23.766
697,20.217
698,20.103
699,21.746
700,22.059
701,22.566
702,23.052
703,22.902
704,24.289
705,22.09
706,21.358
707,22.522
708,22.206
709,21.072
710,20.087
711,22.543
712,23.918
713,22.298
714,22.661
715,23.117
716,23.622
717,23.009
718,21.603
719,21.456
720,22.039
721,23.302
722,20.995
723,22.337
724,22.608
725,23.118
726,21.952
727,21.631
728,21.093
729,21.537
730,23.051
731,20.66
732,23.245
733,23.256
734,20.871
735,22.622
736,22.055
737,22.005
738,23.417
739,20.294
740,21.678
741,21.431
742,21.822
743,22.363
744,22.145
745,24.336
746,21.001
747,23.031
748,23.354
749,22.737
750,20.725
751,22.014
752,23.202
753,23.68
754,21.276
755,22.023
756,21.946
757,21.41
758,21.953
759,21.748
760,21.584
761,23.159
762,22.872
763,22.458
764,22.34
765,23.289
766,22.872
767,23.648
768,22.052
769,21.864
770,22.867
771,22.399
772,21.11
773,22.929
774,22.6
775,23.715
776,22.245
777,23.186
778,23.073
779,21.761
780,23.669
781,23.503
782,21.955
783,21.347
784,23.249
785,23.595
786,22.574
787,21.623
788,22.606
789,22.506
790,24.05
791,23.207
792,24.409
793,22.897
794,24.192
795,21.603
796,21.661
797,24.065
798,23.248
799,23.173
800,22.587
801,21.742
802,21.295
803,23.633
804,21.781
805,23.081
806,21.151
807,22.444
808,22.64
809,22.886
810,22.671
811,21.954
812,22.9
813,23.374
814,20.972
815,21.806
816,24.231
817,23.85
818,23.825
819,23.159
820,21.706
821,22.436
822,23.155
823,22.309
824,22.93
825,23.116
826,23.874
827,22.532
828,22.006
829,22.345
830,22.123
831,22.59
832,22.625
833,23.249
834,23.132
835,22.513
836,23.364
837,21.843
838,22.008
839,23.252
840,20.046
841,23.322
842,23.604
843,22.944
844,22.743
845,22.393
846,22.289
847,22.294
848,20.949
849,23.531
850,22.171
851,23.191
852,21.403
853,22.905
854,21.026
855,21.439
856,23.252
857,23.632
858,21.403
859,19.019
860,22.5
861,23.429
862,23.832
863,22.289
864,22.273
865,24.245
866,22.448
867,22.699
868,22.557
869,21.658
870,23.523
871,20.475
872,23.586
873,22.681
874,21.281
875,21.899
876,21.834
877,20.929
878,21.553
879,22.912
880,21.768
881,19.986
882,22.423
883,22.476
884,22.162
885,22.156
886,22.668
887,22.143
888,20.992
889,23.029
890,21.814
891,22.992
892,22.446
893,22.212
894,21.747
895,22.47
896,21.507
897,22.094
898,19.996
899,23.631
900,22.993
901,23.159
902,22.01
903,23.901
904,21.113
905,23.055
906,23.361
907,20.876
908,22.648
909,19.851
910,22.484
911,22.475
912,22.123
913,21.68
914,22.112
915,22.591
916,23.225
917,23.802
918,21.634
919,23.527
920,22.412
921,23.035
922,23.715
923,23.674
924,22.891
925,21.385
926,23.704
927,22.663
928,22.633
929,22.351
930,21.448
931,21.283
932,23.364
933,21.357
934,20.886
935,23.032
936,23.261
937,22.629
938,23.419
939,22.538
940,22.793
941,22.438
942,22.352
943,22.322
944,22.314
945,23.57
946,23.308
947,22.218
948,21.301
949,23.4
950,21.453
951,22.276
952,22.517
953,23.376
954,22.232
955,21.335
956,20.166
957,22.235
958,23.465
959,22.269
960,21.511
961,21.807
962,21.928
963,22.832
964,21.821
965,21.782
966,21.742
967,22.333
968,22.652
969,21.482
970,22.968
971,22.636
972,22.712
973,23.601
974,23.395
975,22.915
976,22.14
977,23.536
978,23.086
979,23.339
980,23.161
981,22.127
982,22.762
983,21.22
984,23.471
985,19.451
986,23.716
987,21.409
988,22.266
989,22.617
990,21.518
991,22.253
992,23.323
993,21.576
994,23.708
995,22.32
996,22.597
997,23.319
998,24.013
999,21.91
1000,21.057
1001,20.854
1002,19.442
1003,22.835
1004,21.605
1005,22.05
1006,20.77
1007,22.381
1008,23.367
1009,22.527
1010,22.04
1011,23.758
1012,22.92
1013,22.09
1014,23.117
1015,23.414
1016,21.469
1017,22.476
1018,21.898
1019,21.696
1020,22.061
1021,21.012
1022,23.843
1023,22.995
1024,22.33
1025,21.889
1026,23.027
1027,22.64
1028,22.614
1029,20.372
1030,20.899
1031,22.708
1032,22.852
1033,22.57
1034,23.392
1035,22.825
1036,22.288
1037,19.714
1038,21.25
1039,22.62
1040,23.406
1041,22.529
1042,20.541
1043,23.062
1044,21.582
1045,22.004
1046,22.492
1047,22.56
1048,21.764
1049,22.088
1050,24.086
1051,21.78
1052,23.887
1053,23.047
1054,22.385
1055,20.761
1056,22.196
1057,22.163
1058,20.758
1059,23.266
1060,21.165
1061,22.422
1062,23.337
1063,22.694
1064,22.672
1065,22.429
1066,21.783
1067,21.743
1068,22.004
1069,23.294
1070,22.664
1071,22.752
1072,24.701
1073,21.794
1074,23.251
1075,23.538
1076,22.176
1077,21.365
1078,22.426
1079,22.518
1080,21.47
1081,21.924
1082,23.749
1083,21.5
1084,22.621
1085,20.846
1086,22.487
1087,22.267
1088,23.751
1089,21.233
1090,21.749
1091,21.567
1092,22.168
1093,22.799
1094,22.169
1095,24.039
1096,22.078
1097,22.898
1098,22.446
1099,22.087
1100,23.059
1101,20.874
1102,21.786
1103,22.194
1104,22.815
1105,22.422
1106,22.981
1107,23.247
1108,23.526
1109,22.255
1110,22.658
1111,22.635
1112,23.774
1113,21.776
1114,22.509
1115,23.067
1116,23.097
1117,21.898
1118,20.367
1119,21.995
1120,23.08
1121,22.427
1122,21.366
1123,22.806
1124,23.409
1125,22.116
1126,21.865
1127,21.848
1128,22.264
1129,20.293
1130,22.283
1131,20.806
1132,22.766
1133,23.723
1134,21.999
1135,22.527
1136,22.638
1137,22.363
1138,20.778
1139,22.377
1140,22.816
1141,22.353
1142,22.844
1143,22.623
1144,23.376
1145,23.091
1146,22.856
1147,23.449
1148,23.148
1149,22.189
1150,23.747
1151,23.236
1152,23.082
1153,22.577
1154,20.459
1155,21.242
1156,21.204
1157,22.434
1158,20.216
1159,22.629
1160,22.945
1161,22.288
1162,22.031
1163,23.47
1164,22.249
1165,22.023
1166,22.2
1167,23.199
1168,23.058
1169,22.83
1170,21.391
1171,22.924
1172,21.978
1173,22.54
1174,21.585
1175,21.958
1176,23.04
1177,22.178
1178,23.863
1179,21.038
1180,22.177
1181,22.898
1182,22.807
1183,22.972
1184,24.102
1185,23.222
1186,21.862
1187,23.283
1188,22.817
1189,23.563
1190,23.475
1191,22.292
1192,22.515
1193,21.668
1194,22.753
1195,22.327
1196,21.912
1197,21.664
1198,22.419
1199,22.735
1200,21.859
1201,20.118
1202,23.991
1203,22.944
1204,23.672
1205,22.077
1206,22.079
1207,22.574
1208,23.688
1209,20.664
1210,23.531
1211,22.512
1212,21.111
1213,23.664
1214,21.449
1215,21.866
1216,22.126
1217,21.888
1218,23.941
1219,22.285
1220,20.715
1221,22.693
1222,21.477
1223,19.803
1224,23.302
1225,22.333
1226,22.894
1227,23.396
1228,22.561
1229,21.802
1230,21.641
1231,20.419
1232,21.964
1233,22.386
1234,22.404
1235,21.803
1236,22.217
1237,22.443
1238,21.134
1239,22.032
1240,20.505
1241,22.463
1242,22.419
1243,23.045
1244,20.611
1245,23.062
1246,22.714
1247,21.255
1248,23.32
1249,22.821
1250,22.573
1251,23.376
1252,22.453
1253,23.249
1254,22.716
1255,22.651
1256,21.801
1257,22.345
1258,22.722
1259,23.303
1260,21.822
1261,22.333
1262,22.069
1263,21.844
1264,21.461
1265,21.633
1266,22.754
1267,23.476
1268,23.351
1269,21.553
1270,23.348
1271,22.289
1272,21.926
1273,22.561
1274,24.229
1275,23.785
1276,22.813
1277,21.863
1278,20.827
1279,22.911
1280,22.814
1281,21.793
1282,23.04
1283,22.53
1284,22.759
1285,23.442
1286,22.543
1287,23.113
1288,24.01
1289,22.855
1290,22.21
1291,21.224
1292,22.301
1293,21.316
1294,23.664
1295,20.761
1296,20.888
1297,23.817
1298,21.958
1299,21.493
1300,23.871
1301,23.504
1302,23.189
1303,23.201
1304,21.306
1305,23.255
1306,22.912
1307,23.213
1308,21.923
1309,24.261
1310,23.941
1311,24.046
1312,21.907
1313,23.561
1314,24.044
1315,23.351
1316,22.206
1317,22.46
1318,22.459
1319,22.86
1320,22.715
1321,21.393
1322,21.732
1323,24.817
1324,23.958
1325,22.259
1326,22.35
1327,23.114
1328,23.285
1329,20.742
1330,22.733
1331,22.219
1332,23.636
1333,22.08
1334,22.46
1335,23.069
1336,23.125
1337,23.616
1338,20.296
1339,23.498
1340,22.798
1341,22.278
1342,21.142
1343,24.195
1344,23.009
1345,22.333
1346,23.222
1347,23.117
1348,22.792
1349,21.913
1350,21.961
1351,21.278
1352,20.003
1353,21.936
1354,21.041
1355,22.333
1356,22.223
1357,23.513
1358,22.337
1359,21.722
1360,21.951
1361,23.773
1362,23.572
1363,21.965
1364,23.859
1365,23.61
1366,23.431
1367,22.799
1368,22.132
1369,20.62
1370,21.853
1371,22.088
1372,22.698
1373,22.476
1374,23.455
1375,24.137
1376,22.105
1377,22.024
1378,23.204
1379,22.076
1380,22.227
1381,23.66
1382,22.507
1383,22.358
1384,22.794
1385,22.757
1386,21.551
1387,22.162
1388,23.0
1389,23.172
1390,23.649
1391,22.516
1392,23.119
1393,23.544
1394,23.27
1395,22.446
1396,23.474
1397,22.372
1398,22.948
1399,23.067
1400,22.131
1401,22.013
1402,23.043
1403,22.872
1404,22.421
1405,22.957
1406,23.563
1407,22.112
1408,21.363
1409,23.478
1410,23.551
1411,21.254
1412,23.286
1413,23.019
1414,24.405
1415,22.778
1416,23.447
1417,23.812
1418,21.525
1419,22.59
1420,23.906
1421,20.847
1422,22.197
1423,22.117
1424,22.194
1425,23.247
1426,22.699
1427,23.672
1428,20.735
1429,21.636
1430,24.675
1431,21.94
1432,21.396
1433,23.386
1434,23.51
1435,21.439
1436,22.762
1437,22.296
1438,21.705
1439,21.946
1440,22.242
1441,20.776
1442,21.507
1443,22.463
1444,22.527
1445,22.778
1446,23.396
1447,20.254
1448,23.826
1449,22.308
1450,22.978
1451,22.498
1452,22.627
1453,22.868
1454,22.619
1455,22.905
1456,22.986
1457,23.8
1458,21.145
1459,22.858
1460,21.824
1461,23.87
1462,23.73
1463,22.488
1464,23.719
1465,21.876
1466,22.969
1467,20.982
1468,21.704
1469,23.086
1470,22.287
1471,22.684
1472,21.873
1473,23.392
1474,23.309
1475,23.836
1476,24.214
1477,21.747
1478,23.002
1479,24.217
1480,22.665
1481,20.837
1482,23.786
1483,22.698
1484,21.575
1485,22.568
1486,22.035
1487,23.224
1488,22.166
1489,24.373
1490,22.774
1491,22.745
1492,20.552
1493,22.382
1494,22.091
1495,23.652
1496,22.438
1497,22.113
1498,22.185
1499,21.822
